City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Clouds (Numberic)
0,puerto natales,-51.7236,-72.4875,57.65,47,broken clouds,18.41,CL,2024-12-09 12:05:18,75
1,port elizabeth,-33.918,25.5701,75.49,90,scattered clouds,6.91,ZA,2024-12-09 12:05:19,40
2,ust-nera,64.5667,143.2,-6.74,99,overcast clouds,3.31,RU,2024-12-09 12:05:20,100
3,boyolangu,-8.1181,111.8935,77.52,91,overcast clouds,2.35,ID,2024-12-09 12:05:21,100
4,lindley,-27.8791,27.9135,78.49,21,clear sky,2.35,ZA,2024-12-09 12:05:22,2
5,albany,42.6001,-73.9662,37.54,79,light rain,3.94,US,2024-12-09 12:05:24,100
6,ushuaia,-54.8,-68.3,55.06,47,clear sky,11.5,AR,2024-12-09 12:00:28,0
7,atafu village,-8.5421,-172.5159,82.27,74,overcast clouds,7.78,TK,2024-12-09 12:05:26,100
8,ballina,-28.8667,153.5667,73.94,95,light rain,1.48,AU,2024-12-09 12:05:27,100
9,st. john's,47.5649,-52.7093,40.96,88,overcast clouds,23.02,CA,2024-12-09 12:05:28,100
10,san antonio de pale,-1.4014,5.6325,80.35,77,light rain,5.06,GQ,2024-12-09 12:05:30,19
11,georgetown,5.4112,100.3354,78.73,84,light rain,4.61,MY,2024-12-09 12:05:31,40
12,kununurra,-15.7667,128.7333,82.38,89,overcast clouds,3.44,AU,2024-12-09 12:05:32,100
13,bodo,67.28,14.405,42.84,92,moderate rain,32.21,NO,2024-12-09 12:05:33,100
14,gunjur,13.2019,-16.7339,84.52,35,overcast clouds,5.3,GM,2024-12-09 12:05:34,93
15,puerto ayora,-0.7393,-90.3518,73.54,93,broken clouds,8.99,EC,2024-12-09 12:05:35,68
16,port mathurin,-19.6833,63.4167,77.23,78,overcast clouds,14.83,MU,2024-12-09 12:05:37,96
17,mount gambier,-37.8333,140.7667,48.54,87,clear sky,2.95,AU,2024-12-09 12:05:38,4
18,invercargill,-46.4,168.35,51.03,73,scattered clouds,7.0,NZ,2024-12-09 12:05:39,49
19,sitka,57.0531,-135.33,37.29,81,few clouds,4.61,US,2024-12-09 12:05:41,20
20,arkhangel'sk,64.5401,40.5433,30.31,100,light shower snow,11.18,RU,2024-12-09 12:02:44,100
